,Unnamed: 0,ID,x,y,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
235,515,159,590790.5087,6136680.724,123111.75,5522.081854,N,1025.949611,E,4,10,1.3,22.399,M,39.413,M,1.8,0013*7F,,new_Downspout Grille,,159,-,-,1034152780,-,-
236,295,160,590802.6699,6136679.758,103239,5522.081199,N,1025.961101,E,4,10,1.2,23.361,M,39.415,M,1,0000*75,,new_Downspout Grille,,160,-,-,-,-,-
237,483,163,590789.6107,6136693.646,121909.45,5522.088829,N,1025.949013,E,4,9,1.5,22.4,M,39.413,M,1.5,0013*73,,new_Downspout Grille,,163,-,-,1034152765,-,-
238,482,164,590789.4161,6136695.891,121857.85,5522.090041,N,1025.948873,E,4,9,1.5,22.461,M,39.413,M,0.9,0013*74,,new_Downspout Grille,,164,-,-,1034152764,-,-
239,486,166,590772.8684,6136692.036,122010.8,5522.088147,N,1025.933138,E,4,8,1.6,22.445,M,39.413,M,0.8,0013*79,,new_Downspout Grille,,166,-,-,1034152767,-,-
240,485,167,590772.7903,6136694.323,121952.7,5522.08938,N,1025.933108,E,4,11,1.3,22.387,M,39.413,M,0.7,0013*7B,,new_Downspout Grille,,167,-,-,1034152766,-,-
241,487,169,590757.3583,6136690.538,122041.3,5522.087512,N,1025.91843,E,4,11,1.3,22.416,M,39.413,M,1.3,0013*75,,new_Downspout Grille,,169,-,-,1034152768,-,-
242,488,171,590757.1305,6136692.673,122142.75,5522.088665,N,1025.918257,E,4,12,1.1,23.304,M,39.413,M,0.8,0013*74,,new_Downspout Grille,,171,-,-,-,-,-
243,491,173,590740.0354,6136691.111,122238.9,5522.088013,N,1025.902048,E,4,13,0.9,23.458,M,39.413,M,1.9,0013*76,,new_Downspout Grille,,173,-,-,-,-,-
244,492,176,590740.445,6136689.075,122257.25,5522.08691,N,1025.902396,E,4,12,0.9,23.502,M,39.413,M,1.3,0013*74,,new_Downspout Grille,,176,-,-,1034152769,-,-
245,497,181,590722.6183,6136687.14,122437.7,5522.086065,N,1025.885488,E,4,8,1.5,22.458,M,39.413,M,1.7,0013*79,,new_Downspout Grille,,181,-,-,1034152770,-,-
246,496,182,590722.5133,6136689.441,122413.35,5522.087306,N,1025.885433,E,4,9,1.4,22.439,M,39.413,M,1.4,0013*74,,new_Downspout Grille,,182,-,-,1034152771,-,-
247,499,184,590712.0146,6136692.684,122551.65,5522.08917,N,1025.875561,E,4,12,0.9,22.365,M,39.413,M,0.6,0013*7D,,new_Downspout Grille,,184,-,-,1103669971,-,-
248,464,187,590721.6065,6136707.116,121146.35,5522.096842,N,1025.884919,E,4,5,2.4,22.789,M,39.413,M,1.4,0013*7D,,new_Downspout Grille,,187,-,-,1034152752,-,-
