ID,x,latDir,y,lonDir,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
150,587617.5487,N,6139598.963,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
151,587612.1687,N,6139601.64,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
152,587603.7652,N,6139613.258,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
153,587601.0695,N,6139627.789,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
154,587576.9149,N,6139659.572,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
155,587572.4067,N,6139677.83,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
156,587570.8716,N,6139674.524,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
157,587585.2353,N,6139649.495,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
158,587599.0965,N,6139624.995,E,Totalstation,Light Fixture,downtown,18/12/2020,,,,,
159,587642.4764,N,6139604.375,E,Totalstation,Light Fixture,downtown,18/12/2020,,,,,
160,587667.3652,N,6139620.805,E,Totalstation,Light Fixture,downtown,18/12/2020,,,,,
161,587690.0106,N,6139636.464,E,Totalstation,Light Fixture,downtown,18/12/2020,,,,,
162,587630.1655,N,6139588.285,E,Totalstation,Light Fixture,downtown,18/12/2020,,,,,
163,587618.5122,N,6139590.515,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
164,587619.1865,N,6139595.327,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
165,587632.9554,N,6139596.171,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
166,587692.7456,N,6139637.497,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
167,587667.1474,N,6139622.887,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
168,587657.4866,N,6139616.306,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
169,587613.7071,N,6139593.451,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
170,587602.1779,N,6139588.65,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
171,587593.8889,N,6139584.923,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
172,587566.8511,N,6139572.089,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
173,587523.312,N,6139556.82,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
174,587542.2081,N,6139560.625,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
175,587567.4877,N,6139569.499,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
176,587614.5834,N,6139582.933,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
177,587615.3729,N,6139583.494,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
178,587618.5846,N,6139577.666,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
179,587630.6333,N,6139589.25,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
180,587668.0735,N,6139618.215,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
181,587596.2174,N,6139635.36,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
182,587573.1086,N,6139677.407,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
183,587574.7255,N,6139664.058,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
184,587603.3202,N,6139588.047,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
185,587551.7001,N,6139569.855,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
186,587595.1548,N,6139575.096,E,Totalstation,Trash Can,downtown,18/12/2020,,,,,
187,587631.0719,N,6139590.803,E,Totalstation,Bench,downtown,18/12/2020,,,,,
188,587610.9961,N,6139597.584,E,Totalstation,Bench,downtown,18/12/2020,,,,,
189,587601.9781,N,6139614.665,E,Totalstation,Bench,downtown,18/12/2020,,,,,
190,587595.3554,N,6139636.633,E,Totalstation,Bench,downtown,18/12/2020,,,,,
191,587578.7029,N,6139657.677,E,Totalstation,Bench,downtown,18/12/2020,,,,,
192,587603.8888,N,6139588.758,E,Totalstation,Bench,downtown,18/12/2020,,,,,
193,587525.0806,N,6139560.727,E,Totalstation,Bench,downtown,18/12/2020,,,,,
194,587634.2782,N,6139593.205,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
195,587638.1678,N,6139598.106,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
196,587643.4228,N,6139601.629,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
197,587678.3848,N,6139624.35,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
198,587604.9663,N,6139611.895,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
199,587602.3795,N,6139624.036,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
200,587593.9326,N,6139638.426,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
201,587583.4778,N,6139648.302,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
202,587581.7461,N,6139651.029,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
203,587577.1354,N,6139658.377,E,Totalstation,Greenery,downtown,18/12/2020,,,,,
204,587585.7961,N,6139572.154,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
205,587577.4972,N,6139569.418,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
206,587570.1621,N,6139566.969,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
207,587528.4813,N,6139552.263,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
208,587536.6357,N,6139552.686,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
209,587551.3266,N,6139558.027,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
210,587585.6778,N,6139569.031,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
211,587596.8899,N,6139575.748,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
212,587604.5117,N,6139573.91,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
213,587604.9226,N,6139573.864,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
214,587616.7043,N,6139577.336,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
215,587624.5893,N,6139578.691,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
216,587635.0336,N,6139571.399,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
217,587634.7403,N,6139583.68,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
218,587639.8382,N,6139596.2,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
219,587645.8945,N,6139601.423,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
220,587659.9257,N,6139610.671,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
221,587663.2721,N,6139614.208,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
222,587669.4244,N,6139616.923,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
223,587678.8883,N,6139623.302,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
224,587687.9758,N,6139628.766,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
225,587697.6149,N,6139634.61,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
226,587692.4674,N,6139641.466,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
227,587684.6921,N,6139636.024,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
228,587674.607,N,6139630.738,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
229,587667.016,N,6139624.166,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
230,587662.6098,N,6139623.325,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
231,587646.8428,N,6139610.672,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
232,587645.7934,N,6139609.596,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
233,587626.8632,N,6139601.674,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
234,587622.2813,N,6139599.274,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
235,587589.8612,N,6139651.871,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
236,587568.7329,N,6139688.332,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
237,587571.7659,N,6139662.277,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
238,587576.3938,N,6139657.758,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
239,587581.0585,N,6139646.188,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
240,587581.1999,N,6139645.582,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
241,587590.2235,N,6139630.233,E,Totalstation,Manhole Cover,downtown,18/12/2020,,,,,
242,587537.8058,N,6139622.776,E,Totalstation,Tree,downtown,18/12/2020,,,,,
243,587529.3376,N,6139617.85,E,Totalstation,Tree,downtown,18/12/2020,,,,,
244,587520.4013,N,6139632.385,E,Totalstation,Tree,downtown,18/12/2020,,,,,
245,587529.0578,N,6139637.472,E,Totalstation,Tree,downtown,18/12/2020,,,,,
