,ID,lat,lon,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
246,259,55.3689095,10.43114521,131859.8,5522.13457,N,1025.868713,E,4,7,,21.246,M,39.415,M,1.8,0024*7E,,Downspout Grille,,259,-,-,-,-,-
251,264,55.36903571,10.43113126,132133.5,5522.142143,N,1025.867876,E,4,5,,22.272,M,39.415,M,1.5,0024*41,,Downspout Grille,,264,-,-,-,-,-
252,266,55.36916688,10.43111224,132216.5,5522.150013,N,1025.866734,E,4,9,,21.346,M,39.415,M,1.5,0024*73,,Downspout Grille,,266,-,-,-,-,-
253,267,55.36930014,10.43109407,132248.4,5522.158008,N,1025.865644,E,4,8,,21.392,M,39.415,M,1.4,0024*75,,Downspout Grille,,267,-,-,-,-,-
256,270,55.36945262,10.43131899,132405.45,5522.167157,N,1025.879139,E,4,9,,21.992,M,39.415,M,1.5,0024*7E,,Downspout Grille,,270,-,-,1210521228,-,-
258,272,55.36946623,10.43162422,132442.75,5522.167974,N,1025.897453,E,4,7,,21.596,M,39.415,M,1.8,0024*76,,Downspout Grille,,272,-,-,-,-,-
260,274,55.36947933,10.43193444,132521.25,5522.16876,N,1025.916066,E,4,7,,21.55,M,39.415,M,1.3,0024*7E,,Downspout Grille,,274,-,-,-,-,-
262,276,55.36949221,10.43223946,132600.15,5522.169533,N,1025.934368,E,4,6,,21.5,M,39.415,M,1.1,0024*7D,,Downspout Grille,,276,-,-,-,-,-
266,280,55.36931359,10.43225829,132738.85,5522.158815,N,1025.935497,E,4,7,,22.019,M,39.415,M,1.9,0024*72,,Downspout Grille,,280,-,-,1202730952,-,-
268,282,55.3692994,10.43195003,132823.45,5522.157964,N,1025.917002,E,4,8,,21.759,M,39.415,M,1.5,0024*7A,,Downspout Grille,,282,-,-,1202730953,-,-
270,284,55.36928699,10.43164595,132903.85,5522.157219,N,1025.898757,E,4,9,,21.788,M,39.415,M,0.9,0024*71,,Downspout Grille,,284,-,-,1202730954,-,-
272,286,55.3692747,10.43134044,132946.55,5522.156482,N,1025.880426,E,4,7,,21.751,M,39.415,M,1.5,0024*70,,Downspout Grille,,286,-,-,1210521229,-,-
0,0,55.36781522,10.43267351,101532.8,5522.068913,N,1025.960411,E,4,10,,23.235,M,39.413,M,1.8,0008*7A,,Light Fixture,,0,-,-,1103669411,-,-
1,1,55.36780221,10.43232589,101617.85,5522.068133,N,1025.939553,E,4,7,,23.544,M,39.413,M,1.9,0008*76,,Light Fixture,,1,-,-,-,-,-
8,10,55.3678314,10.4319778,102046.2,5522.069884,N,1025.918668,E,4,9,,26.397,M,39.413,M,1.2,0008*7D,,Light Fixture,,10,-,-,1103669248,-,-
13,15,55.3679523,10.43196575,102209.95,5522.077138,N,1025.917945,E,4,11,,22.878,M,39.413,M,0.9,0008*70,,Light Fixture,,15,-,-,1103668986,-,-
24,26,55.36795446,10.43237368,102545.55,5522.077268,N,1025.942421,E,4,7,,22.916,M,39.413,M,1.5,0008*74,,Light Fixture,,26,-,-,1034152928,-,-
32,35,55.36787602,10.43175451,102836.25,5522.072561,N,1025.905271,E,4,10,,23.015,M,39.413,M,1.3,0008*70,,Light Fixture,,35,-,-,1103669265,-,-
41,44,55.36794965,10.43157177,103149.35,5522.076979,N,1025.894306,E,4,8,,23.239,M,39.413,M,1.4,0008*71,,Light Fixture,,44,-,-,1034152930,-,-
45,48,55.36778993,10.4313868,103312.15,5522.067396,N,1025.883208,E,4,11,,23.213,M,39.413,M,1.1,0008*78,,Light Fixture,,48,-,-,1103668991,-,-
64,67,55.36780657,10.43102542,104332.85,5522.068394,N,1025.861525,E,4,11,,23.098,M,39.413,M,0.9,0008*7A,,Light Fixture,,67,-,-,1103669300,-,-
67,70,55.36779321,10.43083451,104422.75,5522.067593,N,1025.850071,E,4,10,,22.125,M,39.413,M,0.8,0008*77,,Light Fixture,,70,-,-,1103669380,-,-
72,75,55.36791135,10.43076478,104542.5,5522.074681,N,1025.845887,E,4,9,,23.754,M,39.413,M,1.5,0008*76,,Light Fixture,,75,-,-,-,-,-
73,76,55.36791526,10.43078277,104551.75,5522.074916,N,1025.846966,E,4,9,,23.866,M,39.413,M,1.8,0008*7F,,Light Fixture,,76,-,-,-,-,-
74,77,55.36792361,10.43096699,104615.55,5522.075417,N,1025.858019,E,4,11,,23.64,M,39.413,M,1.5,0008*73,,Light Fixture,,77,-,-,-,-,-
77,81,55.3680969,10.43075247,104728.9,5522.085814,N,1025.845148,E,4,10,,23.652,M,39.413,M,0.9,0008*72,,Light Fixture,,81,-,-,-,-,-
78,82,55.36810487,10.43094255,104751.15,5522.086292,N,1025.856553,E,4,9,,23.875,M,39.413,M,1.1,0008*72,,Light Fixture,,82,-,-,-,-,-
81,85,55.36809662,10.43055742,104914.05,5522.085797,N,1025.833445,E,4,7,,26.933,M,39.413,M,1,0008*7A,,Light Fixture,,85,-,-,1034153008,-,-
82,86,55.36795834,10.43056459,105033.6,5522.0775,N,1025.833875,E,4,6,,23.923,M,39.413,M,1.6,0008*77,,Light Fixture,,86,-,-,1034153007,-,-
83,87,55.36789851,10.43049409,105055.95,5522.073911,N,1025.829645,E,4,8,,23.778,M,39.413,M,0.9,0008*7C,,Light Fixture,,87,-,-,-,-,-
97,101,55.36846243,10.43062279,105559.65,5522.107746,N,1025.837367,E,4,11,,23.333,M,39.413,M,1.6,0008*71,,Light Fixture,,101,-,-,1034152988,-,-
104,108,55.36819826,10.43097905,105835.3,5522.091896,N,1025.858743,E,4,11,,23.211,M,39.413,M,1.3,0008*79,,Light Fixture,,108,-,-,1103669242,-,-
105,109,55.36818216,10.43061398,105923.15,5522.09093,N,1025.836839,E,4,8,,23.755,M,39.413,M,1.1,0008*7E,,Light Fixture,,109,-,-,-,-,-
106,111,55.36826258,10.4305245,110003.1,5522.095755,N,1025.83147,E,4,7,,23.586,M,39.413,M,1.1,0008*78,,Light Fixture,,111,-,-,-,-,-
115,120,55.36851053,10.43049749,110509.4,5522.110632,N,1025.829849,E,4,10,,22.988,M,39.413,M,1.4,0008*7D,,Light Fixture,,120,40024,-,1034152954,-,-
116,121,55.3684481,10.43035058,110528,5522.106886,N,1025.821035,E,4,7,,23.538,M,39.413,M,1,0008*70,,Light Fixture,,121,40023,-,-,-,-
118,123,55.36843154,10.43018136,110656.7,5522.105892,N,1025.810882,E,5,5,,29.655,M,39.413,M,1.7,0008*40,,Light Fixture,,123,-,-,-,-,-
122,127,55.36855076,10.42990052,110907.6,5522.113046,N,1025.794031,E,5,6,,24.059,M,39.413,M,1.6,0008*73,,Light Fixture,,127,-,-,1034152974,-,-
125,130,55.36864401,10.43028079,111102.25,5522.118641,N,1025.816847,E,5,6,,23.259,M,39.413,M,1.3,0008*73,,Light Fixture,Placed on building,130,40021,-,1034152975,-,-
127,132,55.368651,10.43042787,111213.85,5522.11906,N,1025.825672,E,4,9,,23.067,M,39.413,M,1.9,0008*70,,Light Fixture,Placed on building,132,-,-,-,-,-
131,137,55.36887645,10.43048039,111604.75,5522.132587,N,1025.828823,E,4,9,,24.423,M,39.413,M,1.8,0008*73,,Light Fixture,,137,40037,-,1034152955,-,-
132,138,55.36909332,10.43044491,111636.2,5522.145599,N,1025.826695,E,4,7,,24.784,M,39.413,M,1.2,0008*7E,,Light Fixture,,138,40036,-,1034152956,-,-
136,142,55.3690281,10.4308642,112102.35,5522.141686,N,1025.851852,E,4,8,,29.316,M,39.413,M,1.4,0008*76,,Light Fixture,,142,-,-,-,-,-
137,143,55.36931668,10.43098744,112152.85,5522.159001,N,1025.859246,E,4,10,,23.273,M,39.413,M,1.9,0008*7F,,Light Fixture,,143,-,-,1210520555,-,-
138,144,55.3690941,10.4310174,112222.05,5522.145646,N,1025.861044,E,4,5,,23.332,M,39.413,M,3,0008*75,,Light Fixture,,144,-,-,1210520554,-,-
139,145,55.36886912,10.43105062,112259.05,5522.132147,N,1025.863037,E,4,9,,23.193,M,39.413,M,2,0008*70,,Light Fixture,,145,-,-,1210520553,-,-
140,146,55.36866641,10.43107524,112326.7,5522.119985,N,1025.864514,E,4,11,,23.281,M,39.413,M,1.7,0008*72,,Light Fixture,,146,-,-,1210520552,-,-
142,148,55.3686344,10.43095947,112414.15,5522.118064,N,1025.857568,E,4,7,,23.387,M,39.413,M,1.1,0008*74,,Light Fixture,,148,-,-,1034152952,-,-
156,162,55.36815925,10.43255783,123916.75,5522.089555,N,1025.95347,E,4,11,,22.96,M,39.415,M,1.8,0024*7E,,Light Fixture,,162,-,-,1034152926,-,-
159,165,55.36814607,10.43225673,124008.65,5522.088764,N,1025.935404,E,4,12,,22.877,M,39.415,M,0.6,0024*7B,,Light Fixture,,165,-,-,1034152925,-,-
