#,id,name,description,geometry
int,int,str,str,str
53,1034235610,Bygning,Bygning,"Polygon;587693.05,6139540.18;587694.37,6139536.35;587701.77,6139538.9;587700.45,6139542.73;587693.05,6139540.18"
54,1071767126,Bygning,Bygning,"Polygon;587658.36,6139514.7;587653.84,6139534.27;587650.48,6139543.77;587644.4,6139541.63;587641.59,6139540.63;587636.18,6139556.85;587630.17,6139574.21;587628.68,6139578.89;587624.31,6139578.03;587623.81,6139578.77;587622.94,6139579.12;587622.09,6139578.95;587621.42,6139578.3;587621.24,6139577.42;587617.93,6139576.77;587630.92,6139537.07;587637.36,6139518.06;587637.38,6139517.09;587637.53,6139507.02;587639.23,6139496.99;587661.47,6139501.16;587658.36,6139514.7"
55,1200217416,Bygning,Bygning,"Polygon;587610.95,6139649.87;587608.53,6139653.91;587606.91,6139656.75;587617.58,6139662.85;587616.57,6139664.61;587622.28,6139667.88;587627.22,6139659.45;587613.7,6139651.52;587610.95,6139649.87"
56,1071767159,Bygning,Bygning,"Polygon;587542.58,6139505.85;587554.16,6139509.93;587554.48,6139509.02;587557.1,6139509.95;587556.56,6139511.2;587561.41,6139512.66;587563.48,6139503.03;587550.08,6139499.15;587552.32,6139491.17;587571.16,6139496.46;587566.83,6139514.58;587564.95,6139521.32;587561.84,6139529.29;587555.79,6139545.11;587551.79,6139556.76;587525.89,6139547.86;587525.99,6139547.59;587534.31,6139525.33;587540.7,6139509.36;587542.58,6139505.85"
57,1071755647,Bygning,Bygning,"Polygon;587677.29,6139696.41;587671.39,6139693.01;587681.92,6139675.91;587696.93,6139651.52;587709.82,6139662.84;587710.0,6139664.74;587697.87,6139685.88;587695.41,6139684.46;587693.34,6139688.04;587688.51,6139685.27;587698.36,6139668.76;587697.12,6139668.02;587696.23,6139668.39;587694.9,6139667.59;587691.0,6139674.12;587691.47,6139674.4;587690.51,6139676.01;587690.17,6139675.81;587688.06,6139679.34;587684.1,6139676.97;587683.01,6139678.8;587683.5,6139679.09;587679.47,6139685.85;587678.88,6139685.49;587678.0,6139686.95;587681.38,6139688.97;587677.29,6139696.41"
58,1034131823,Broenddaeksel,Broenddaeksel,"Point;587610.42,6139518.44"
59,1210521785,Broenddaeksel,Broenddaeksel,"Point;587602.81,6139540.68"
60,1034131764,Broenddaeksel,Broenddaeksel,"Point;587618.15,6139590.08"
61,1034131768,Broenddaeksel,Broenddaeksel,"Point;587656.89,6139565.04"
62,1034131726,Broenddaeksel,Broenddaeksel,"Point;587608.82,6139674.16"
63,1034131727,Broenddaeksel,Broenddaeksel,"Point;587613.04,6139672.45"
64,1034131728,Broenddaeksel,Broenddaeksel,"Point;587632.5,6139683.35"
65,1034131733,Broenddaeksel,Broenddaeksel,"Point;587666.75,6139622.74"
66,1034131763,Broenddaeksel,Broenddaeksel,"Point;587620.56,6139589.77"
67,1034131765,Broenddaeksel,Broenddaeksel,"Point;587617.0,6139589.71"
68,1034131769,Broenddaeksel,Broenddaeksel,"Point;587699.93,6139550.09"
69,1034131820,Broenddaeksel,Broenddaeksel,"Point;587612.3,6139498.74"
70,1034131822,Broenddaeksel,Broenddaeksel,"Point;587609.23,6139518.81"
71,1034132063,Broenddaeksel,Broenddaeksel,"Point;587550.23,6139620.01"
72,1034131766,Broenddaeksel,Broenddaeksel,"Point;587633.83,6139582.78"
73,1034131767,Broenddaeksel,Broenddaeksel,"Point;587636.73,6139579.88"
74,1034131741,Mast,Mast,"Point;587630.0,6139587.89"
75,1034131742,Mast,Mast,"Point;587617.45,6139598.62"
76,1034131743,Mast,Mast,"Point;587680.58,6139558.42"
77,1034131787,Mast,Mast,"Point;587620.29,6139497.66"
78,1034131981,Mast,Mast,"Point;587704.97,6139552.8"
79,1034131983,Mast,Mast,"Point;587577.04,6139658.95"
80,1034131984,Mast,Mast,"Point;587595.57,6139627.83"
81,1034131989,Mast,Mast,"Point;587553.55,6139608.99"
82,1210520812,Mast,Mast,"Point;587602.33,6139528.3"
83,1034187935,Hegn,Hegn,"LineString;587666.02,6139575.03;587663.07,6139580.63"
84,1034187928,Hegn,Hegn,"LineString;587603.88,6139493.57;587603.07,6139500.0"
85,1034187936,Hegn,Hegn,"LineString;587681.13,6139561.06;587676.28,6139562.88"
86,1034187937,Hegn,Hegn,"LineString;587676.28,6139562.88;587675.61,6139563.13;587669.55,6139565.77"
87,1034187940,Hegn,Hegn,"LineString;587706.59,6139568.07;587711.51,6139569.55;587707.35,6139580.78"
88,1034190704,Hegn,Hegn,"LineString;587604.71,6139502.55;587609.82,6139503.68"
89,1034187930,Hegn,Hegn,"LineString;587623.43,6139499.98;587617.07,6139499.84"
90,1034187933,Hegn,Hegn,"LineString;587598.78,6139540.01;587593.86,6139538.59"
91,1034188257,Hegn,Hegn,"LineString;587721.09,6139582.77;587719.61,6139588.49;587706.53,6139584.16"
92,1034187938,Hegn,Hegn,"LineString;587676.28,6139562.88;587677.99,6139567.97;587674.64,6139574.44"
93,1034187929,Hegn,Hegn,"LineString;587627.9,6139499.86;587638.59,6139500.76"
94,1034187934,Hegn,Hegn,"LineString;587665.9,6139567.16;587663.62,6139568.35"
95,1034187939,Hegn,Hegn,"LineString;587683.23,6139569.2;587679.48,6139576.76"
96,1034187941,Hegn,Hegn,"LineString;587718.48,6139593.36;587709.55,6139591.16"
97,1034188201,Hegn,Hegn,"LineString;587601.78,6139528.86;587597.18,6139527.63"
98,1034190703,Hegn,Hegn,"LineString;587616.0,6139504.44;587614.54,6139504.43;587614.36,6139506.65"
99,1034188355,Hegn,Hegn,"LineString;587605.58,6139675.51;587607.11,6139676.39;587598.87,6139690.69"
100,1034116584,Trae,Trae,"Point;587620.64,6139594.98"
101,1034116585,Trae,Trae,"Point;587602.2,6139621.95"
102,1034116586,Trae,Trae,"Point;587593.22,6139638.27"
103,1034116587,Trae,Trae,"Point;587579.28,6139657.72"
104,1034116588,Trae,Trae,"Point;587571.83,6139675.61"
105,1034116722,Trae,Trae,"Point;587581.59,6139498.73"
106,1034116807,Trae,Trae,"Point;587562.8,6139572.16"
107,1034116808,Trae,Trae,"Point;587570.08,6139574.81"
108,1034132285,Trae,Trae,"Point;587636.11,6139498.5"
109,1034132286,Trae,Trae,"Point;587607.77,6139496.14"
110,1034132287,Trae,Trae,"Point;587605.13,6139500.21"
111,1034132305,Trae,Trae,"Point;587601.01,6139613.98"
112,1034116576,Trae,Trae,"Point;587525.67,6139559.22"
113,1034116650,Trae,Trae,"Point;587538.99,6139623.55"
114,1034116651,Trae,Trae,"Point;587529.03,6139617.76"
115,1034116652,Trae,Trae,"Point;587529.48,6139637.57"
116,1034116666,Trae,Trae,"Point;587536.77,6139647.86"
117,1034116667,Trae,Trae,"Point;587539.04,6139643.89"
118,1034116806,Trae,Trae,"Point;587549.69,6139567.87"
119,1210525904,Trae,Trae,"Point;587622.71,6139525.75"
120,1210525905,Trae,Trae,"Point;587619.22,6139538.0"
121,1034131619,Nedloebsrist,Nedloebsrist,"Point;587607.31,6139613.73"
122,1034131720,Nedloebsrist,Nedloebsrist,"Point;587629.63,6139684.35"
123,1034131721,Nedloebsrist,Nedloebsrist,"Point;587634.8,6139676.44"
124,1034131722,Nedloebsrist,Nedloebsrist,"Point;587625.58,6139676.44"
125,1034131723,Nedloebsrist,Nedloebsrist,"Point;587623.83,6139672.31"
126,1034131724,Nedloebsrist,Nedloebsrist,"Point;587621.07,6139676.65"
127,1034131725,Nedloebsrist,Nedloebsrist,"Point;587614.03,6139669.26"
128,1034131734,Nedloebsrist,Nedloebsrist,"Point;587648.84,6139606.32"
129,1034131735,Nedloebsrist,Nedloebsrist,"Point;587689.73,6139633.36"
130,1034131761,Nedloebsrist,Nedloebsrist,"Point;587692.71,6139542.31"
131,1034131762,Nedloebsrist,Nedloebsrist,"Point;587683.86,6139556.2"
132,1034131805,Nedloebsrist,Nedloebsrist,"Point;587611.23,6139497.82"
133,1034131812,Nedloebsrist,Nedloebsrist,"Point;587692.49,6139525.9"
134,1034131813,Nedloebsrist,Nedloebsrist,"Point;587694.95,6139534.93"
135,1034131924,Nedloebsrist,Nedloebsrist,"Point;587543.7,6139655.67"
136,1034131925,Nedloebsrist,Nedloebsrist,"Point;587550.47,6139643.81"
137,1034131985,Nedloebsrist,Nedloebsrist,"Point;587559.38,6139609.68"
138,1034131986,Nedloebsrist,Nedloebsrist,"Point;587565.93,6139609.92"
139,1034131987,Nedloebsrist,Nedloebsrist,"Point;587567.95,6139612.47"
140,1034131988,Nedloebsrist,Nedloebsrist,"Point;587570.7,6139621.07"
141,1210521421,Nedloebsrist,Nedloebsrist,"Point;587606.58,6139514.73"
142,1210521480,Nedloebsrist,Nedloebsrist,"Point;587604.83,6139526.08"
