#,id,description,geometry
int,int,str,str
192,1103669600,Nedloebsrist,"Point;590710.04,6136713.63"
193,1103669998,Nedloebsrist,"Point;590775.89,6136686.8"
194,1103670001,Nedloebsrist,"Point;590727.26,6136683.81"
195,1034152773,Nedloebsrist,"Point;590727.52,6136674.32"
196,1034152775,Nedloebsrist,"Point;590740.82,6136675.97"
197,1034152776,Nedloebsrist,"Point;590759.2,6136677.62"
198,1103669749,Nedloebsrist,"Point;590721.45,6136658.69"
199,1103669801,Nedloebsrist,"Point;590719.34,6136723.01"
200,1210521229,Nedloebsrist,"Point;590714.73,6136817.14"
201,1095519974,Skorsten,"Point;590659.41,6136757.09"
