#,id,description,geometry
int,int,str,str
90,1071741137,Bygning,"Polygon;587817.64,6137460.44;587820.34,6137460.13;587822.41,6137478.11;587811.04,6137479.42;587808.97,6137461.55;587809.55,6137461.49;587817.64,6137460.44"
91,1071742695,Bygning,"Polygon;587767.01,6137484.61;587766.15,6137484.07;587764.69,6137486.37;587762.87,6137485.21;587767.4,6137478.1;587769.92,6137479.7;587769.73,6137480.0;587767.01,6137484.61"
92,1071742696,Bygning,"Polygon;587769.73,6137480.0;587777.36,6137484.86;587771.39,6137494.24;587768.62,6137498.61;587768.25,6137498.37;587761.14,6137493.84;587767.01,6137484.61;587769.73,6137480.0"
93,1095488175,Bygning,"Polygon;587902.33,6137468.3;587898.89,6137468.72;587898.5,6137465.5;587901.94,6137465.09;587902.33,6137468.3"
94,1034235013,Bygning,"Polygon;587849.99,6137545.11;587849.39,6137539.69;587854.7,6137539.11;587855.29,6137544.52;587850.39,6137545.06;587849.99,6137545.11"
95,1202727469,Bygning,"Polygon;587869.35,6137575.67;587872.45,6137575.28;587872.79,6137577.98;587869.69,6137578.37;587869.35,6137575.67"
96,1210512551,Bygning,"Polygon;587747.94,6137501.23;587749.39,6137498.74;587747.55,6137497.66;587746.09,6137500.15;587747.94,6137501.23"
97,1034160394,Broenddaeksel,"Point;587844.77,6137531.02"
98,1034160397,Broenddaeksel,"Point;587827.33,6137446.03"
99,1034127799,Broenddaeksel,"Point;587833.52,6137533.54"
100,1034127800,Broenddaeksel,"Point;587827.9,6137486.55"
101,1034127801,Broenddaeksel,"Point;587805.71,6137614.9"
102,1034127807,Broenddaeksel,"Point;587774.66,6137570.99"
103,1034127808,Broenddaeksel,"Point;587774.9,6137565.09"
104,1034127809,Broenddaeksel,"Point;587787.46,6137558.01"
105,1034127810,Broenddaeksel,"Point;587788.98,6137542.9"
106,1034127811,Broenddaeksel,"Point;587810.64,6137511.32"
107,1034127812,Broenddaeksel,"Point;587783.8,6137472.05"
108,1210521759,Broenddaeksel,"Point;587760.54,6137459.41"
109,1034160393,Broenddaeksel,"Point;587891.13,6137519.12"
110,1034160395,Broenddaeksel,"Point;587836.96,6137524.92"
111,1034160396,Broenddaeksel,"Point;587835.51,6137492.13"
112,1034128126,Mast,"Point;587841.22,6137606.01"
113,1034160223,Mast,"Point;587882.42,6137520.8"
114,1034160226,Mast,"Point;587837.18,6137486.51"
115,1034160227,Mast,"Point;587833.72,6137456.86"
116,1034128130,Mast,"Point;587760.78,6137578.62"
117,1034128286,Mast,"Point;587759.65,6137592.12"
118,1034128127,Mast,"Point;587828.16,6137621.03"
119,1034160225,Mast,"Point;587840.64,6137511.08"
120,1034160524,Mast,"Point;587830.4,6137427.01"
121,1034160224,Mast,"Point;587846.17,6137525.77"
122,1095516358,Mast,"Point;587806.87,6137509.39"
123,1034127798,Mast,"Point;587888.4,6137532.22"
124,1034128128,Mast,"Point;587812.33,6137609.77"
125,1034128129,Mast,"Point;587783.16,6137591.69"
126,1034128136,Mast,"Point;587770.0,6137563.21"
127,1034128137,Mast,"Point;587787.31,6137538.23"
128,1034128138,Mast,"Point;587810.14,6137530.3"
129,1034128150,Mast,"Point;587761.83,6137451.47"
130,1034128151,Mast,"Point;587786.99,6137467.54"
131,1034128152,Mast,"Point;587810.13,6137482.42"
132,1034212656,Hegn,"LineString;587886.84,6137510.93;587881.61,6137471.37"
133,1034212661,Hegn,"LineString;587839.82,6137500.92;587837.69,6137484.55"
134,1034212664,Hegn,"LineString;587863.35,6137482.3;587837.69,6137484.55"
135,1034212665,Hegn,"LineString;587880.77,6137465.37;587881.61,6137471.37"
136,1034212672,Hegn,"LineString;587834.44,6137426.78;587830.58,6137427.13"
137,1034212677,Hegn,"LineString;587876.17,6137430.68;587876.88,6137436.72"
138,1034212678,Hegn,"LineString;587876.88,6137436.72;587832.21,6137442.46"
139,1034212680,Hegn,"LineString;587876.88,6137436.72;587877.6,6137442.8;587878.76,6137451.04"
140,1034213350,Hegn,"LineString;587908.92,6137493.43;587905.44,6137468.37"
141,1067404526,Hegn,"LineString;587836.38,6137470.7;587869.37,6137466.71;587880.77,6137465.37"
142,1202732648,Hegn,"LineString;587872.79,6137577.98;587873.03,6137579.92"
143,1061783884,Hegn,"LineString;587832.21,6137442.46;587832.53,6137445.88"
144,1034184752,Hegn,"LineString;587840.25,6137574.73;587853.58,6137573.36"
145,1034184753,Hegn,"LineString;587853.58,6137573.36;587850.39,6137545.06"
146,1034184730,Hegn,"LineString;587905.16,6137594.46;587897.22,6137595.37"
147,1034184763,Hegn,"LineString;587799.83,6137601.32;587789.44,6137594.48"
148,1034184898,Hegn,"LineString;587781.57,6137477.63;587774.57,6137473.1"
149,1034184904,Hegn,"LineString;587783.17,6137481.56;587784.8,6137479.31"
150,1034184908,Hegn,"LineString;587761.68,6137509.58;587758.36,6137514.55"
151,1034185368,Hegn,"LineString;587730.51,6137516.34;587743.95,6137523.81"
152,1034185390,Hegn,"LineString;587738.31,6137496.96;587751.15,6137503.89"
153,1034185969,Hegn,"LineString;587934.78,6137551.44;587917.01,6137554.0"
154,1095511393,Hegn,"LineString;587911.28,6137510.42;587910.06,6137501.61"
155,1034212657,Hegn,"LineString;587865.66,6137503.36;587870.07,6137502.92"
156,1034212679,Hegn,"LineString;587855.41,6137453.65;587878.76,6137451.04"
157,1095514188,Hegn,"LineString;587855.71,6137536.49;587867.92,6137535.0"
158,1095515047,Hegn,"LineString;587909.17,6137495.2;587908.92,6137493.43"
159,1034212655,Hegn,"LineString;587931.86,6137515.75;587912.24,6137518.22;587912.03,6137516.38"
160,1034212658,Hegn,"LineString;587871.13,6137522.46;587843.25,6137525.83;587840.33,6137505.88"
161,1034212659,Hegn,"LineString;587840.33,6137505.88;587840.08,6137504.2"
162,1034212662,Hegn,"LineString;587837.69,6137484.55;587836.21,6137473.19"
163,1034212663,Hegn,"LineString;587863.35,6137482.3;587865.66,6137503.36"
164,1034212668,Hegn,"LineString;587919.17,6137466.64;587905.44,6137468.37"
165,1034212669,Hegn,"LineString;587905.44,6137468.37;587881.61,6137471.37"
166,1034212682,Hegn,"LineString;587878.76,6137451.04;587897.44,6137448.6"
167,1034213485,Hegn,"LineString;587887.45,6137517.66;587887.77,6137520.83"
168,1202732649,Hegn,"LineString;587867.92,6137535.0;587872.45,6137575.28"
169,1202732650,Hegn,"LineString;587888.4,6137578.22;587894.84,6137577.34"
170,1202732651,Hegn,"LineString;587873.03,6137579.92;587885.97,6137578.56"
171,1034184722,Hegn,"LineString;587889.97,6137545.52;587894.72,6137576.39"
172,1034184762,Hegn,"LineString;587809.74,6137607.86;587799.83,6137601.32"
173,1034184907,Hegn,"LineString;587762.87,6137485.21;587751.15,6137503.89"
174,1034185393,Hegn,"LineString;587743.95,6137523.81;587744.23,6137523.96;587751.44,6137529.43;587756.02,6137533.24"
175,1034185395,Hegn,"LineString;587748.14,6137550.33;587756.02,6137533.24"
176,1034185971,Hegn,"LineString;587918.85,6137568.14;587917.01,6137554.0"
177,1034186252,Hegn,"LineString;587750.38,6137523.13;587758.76,6137510.38;587745.8,6137503.49"
178,1034184723,Hegn,"LineString;587919.43,6137573.14;587894.72,6137576.39"
179,1034184724,Hegn,"LineString;587894.72,6137576.39;587894.84,6137577.34"
180,1034184732,Hegn,"LineString;587860.7,6137610.8;587874.73,6137609.35;587898.57,6137606.62"
181,1034184754,Hegn,"LineString;587837.63,6137575.01;587833.28,6137575.55"
182,1034184755,Hegn,"LineString;587832.54,6137569.54;587833.28,6137575.55"
183,1034184756,Hegn,"LineString;587833.28,6137575.55;587822.45,6137576.9"
184,1034184757,Hegn,"LineString;587822.45,6137576.9;587819.0,6137609.0;587812.0,6137610.01"
185,1034184761,Hegn,"LineString;587814.74,6137577.85;587800.19,6137569.16"
